from_zone,to_zone,from_naam,to_naam,freeflow_s,meters
Z04,Z51,Bergpolder,Oude Westen,365,3168
Z04,Z52,Bergpolder,Overschie,440,4269
Z04,Z53,Bergpolder,Pendrecht,824,8328
Z04,Z54,Bergpolder,Prinsenland,738,10223
Z04,Z55,Bergpolder,Provenierswijk,190,1296
Z04,Z56,Bergpolder,Rubroek,403,3105
Z04,Z57,Bergpolder,Schiebroek,448,4597
Z04,Z58,Bergpolder,Schiemond,563,5245
Z04,Z59,Bergpolder,Schieveen,536,7055
Z04,Z60,Bergpolder,Spangen,512,5542
Z04,Z61,Bergpolder,Stadsdriehoek,546,4780
Z04,Z62,Bergpolder,Struisenburg,556,5325
Z04,Z63,Bergpolder,Tarwewijk,658,6368
Z04,Z64,Bergpolder,Terbregge,603,5906
Z04,Z65,Bergpolder,Tussendijken,532,4019
Z04,Z66,Bergpolder,Vreewijk,853,8426
Z04,Z67,Bergpolder,Wielewaal,854,7904
Z04,Z68,Bergpolder,Zestienhoven,391,4018
Z04,Z69,Bergpolder,Zevenkamp,651,9850
Z04,Z70,Bergpolder,Zuiderpark,854,8502
Z04,Z71,Bergpolder,Zuidplein,728,6798
Z04,Z72,Bergpolder,Zuidwijk,914,9336
Z05,Z00,Beverwaard,'s-Gravenland,748,9099
Z05,Z01,Beverwaard,Afrikaanderwijk,643,6436
Z05,Z02,Beverwaard,Agniesebuurt,1006,11166
Z05,Z03,Beverwaard,Bedrijvenpark Noord-West,1228,21162
Z05,Z04,Beverwaard,Bergpolder,940,15536
Z05,Z05,Beverwaard,Beverwaard,89,0
Z05,Z06,Beverwaard,Blijdorp,1029,16267
Z05,Z07,Beverwaard,Blijdorpsepolder,1185,17892
Z05,Z08,Beverwaard,Bloemhof,699,6517
Z05,Z09,Beverwaard,Bospolder,1183,11708
Z05,Z10,Beverwaard,Carnisse,828,11169
Z05,Z11,Beverwaard,Charlois Zuidrand,812,13551
Z05,Z12,Beverwaard,Cool,895,10466
Z05,Z13,Beverwaard,Cs Kwartier,1116,12442
Z05,Z14,Beverwaard,De Esch,600,7526
Z05,Z15,Beverwaard,Delfshaven,1024,10439
Z05,Z16,Beverwaard,Dijkzigt,962,11135
Z05,Z17,Beverwaard,Feijenoord,717,6816
Z05,Z18,Beverwaard,Groot IJsselmonde,261,2331
Z05,Z19,Beverwaard,Heijplaat,997,16039
Z05,Z20,Beverwaard,Het Lage Land,752,10772
Z05,Z21,Beverwaard,Hillegersberg Noord,1058,16235
Z05,Z22,Beverwaard,Hillegersberg Zuid,1042,16670
Z05,Z23,Beverwaard,Hillesluis,609,6043
Z05,Z24,Beverwaard,Hoogvliet Noord,1033,18554
Z05,Z25,Beverwaard,Hoogvliet Zuid,1183,18825
Z05,Z26,Beverwaard,Katendrecht,854,7855
Z05,Z27,Beverwaard,Kleinpolder,1040,17253
Z05,Z28,Beverwaard,Kop van Zuid,744,7506
Z05,Z29,Beverwaard,Kop van Zuid - Entrepot,667,6766
Z05,Z30,Beverwaard,Kralingen Oost,662,8113
Z05,Z31,Beverwaard,Kralingen West,789,9677
Z05,Z32,Beverwaard,Kralingse Bos,898,10364
Z05,Z33,Beverwaard,Kralingseveer,613,7551
Z05,Z34,Beverwaard,Liskwartier,1052,16056
Z05,Z35,Beverwaard,Lombardijen,476,4580
Z05,Z36,Beverwaard,Middelland,1032,10610
Z05,Z37,Beverwaard,Molenlaankwartier,955,13066
Z05,Z38,Beverwaard,Nesselande,1217,16875
Z05,Z39,Beverwaard,Nieuw Crooswijk,983,12733
Z05,Z40,Beverwaard,Nieuwe Werk,956,9326
Z05,Z41,Beverwaard,Nieuwe Westen,1168,11309
Z05,Z42,Beverwaard,Noord Kethel,1512,23592
Z05,Z43,Beverwaard,Noordereiland,802,8002
Z05,Z44,Beverwaard,Ommoord,940,12924
Z05,Z45,Beverwaard,Oosterflank,914,13492
Z05,Z46,Beverwaard,Oud Charlois,879,8870
Z05,Z47,Beverwaard,Oud Crooswijk,894,10595
Z05,Z48,Beverwaard,Oud IJsselmonde,425,4135
Z05,Z49,Beverwaard,Oud Mathenesse,1213,19821
Z05,Z50,Beverwaard,Oude Noorden,1008,11610
Z05,Z51,Beverwaard,Oude Westen,1047,11886
Z05,Z52,Beverwaard,Overschie,1176,20600
Z05,Z53,Beverwaard,Pendrecht,822,8345
Z05,Z54,Beverwaard,Prinsenland,753,8896
Z05,Z55,Beverwaard,Provenierswijk,1059,16460
Z05,Z56,Beverwaard,Rubroek,914,10417
Z05,Z57,Beverwaard,Schiebroek,1112,17295
Z05,Z58,Beverwaard,Schiemond,1108,11017
Z05,Z59,Beverwaard,Schieveen,1206,20818
Z05,Z60,Beverwaard,Spangen,1276,12678
Z05,Z61,Beverwaard,Stadsdriehoek,812,9713
Z05,Z62,Beverwaard,Struisenburg,685,8432
Z05,Z63,Beverwaard,Tarwewijk,804,7838
Z05,Z64,Beverwaard,Terbregge,818,11534
Z05,Z65,Beverwaard,Tussendijken,1220,11935
Z05,Z66,Beverwaard,Vreewijk,621,6089
Z05,Z67,Beverwaard,Wielewaal,1060,15804
Z05,Z68,Beverwaard,Zestienhoven,1162,18162
Z05,Z69,Beverwaard,Zevenkamp,946,14042
Z05,Z70,Beverwaard,Zuiderpark,711,10179
Z05,Z71,Beverwaard,Zuidplein,775,10357
Z05,Z72,Beverwaard,Zuidwijk,661,6751
Z06,Z00,Blijdorp,'s-Gravenland,786,10731
Z06,Z01,Blijdorp,Afrikaanderwijk,694,6344
Z06,Z02,Blijdorp,Agniesebuurt,262,2053
Z06,Z03,Blijdorp,Bedrijvenpark Noord-West,474,5815
Z06,Z04,Blijdorp,Bergpolder,160,1249
Z06,Z05,Blijdorp,Beverwaard,1069,16183
Z06,Z06,Blijdorp,Blijdorp,94,0
Z06,Z07,Blijdorp,Blijdorpsepolder,330,2218
Z06,Z08,Blijdorp,Bloemhof,788,7529
Z06,Z09,Blijdorp,Bospolder,517,4271
